Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR
EST,Estonia,118,10.8,16.5,1.1,65,4.1,9.1,0.47,0.38
CRI,Costa Rica,347,10.6,13.4,0.97,172,4.7,6.6,0.49,0.443
PRI,Puerto Rico,241,10.5,14.1,1.0,89,3.5,5.2,0.37,0.333
MUS,Mauritius,101,10.5,15.9,1.1,52,4.8,8.2,0.54,0.457
LTU,Lithuania,279,10.5,18.5,1.1,181,5.9,12.0,0.67,0.562
IND,India,79360,10.5,11.3,1.2,36319,4.9,5.2,0.57,0.467
MKD,North Macedonia,136,10.4,14.5,1.0,74,4.6,7.9,0.49,0.442
NPL,Nepal,1532,10.3,9.9,1.1,879,6.0,5.7,0.66,0.583
MAR,Morocco,2228,10.2,11.8,1.2,1009,4.6,5.3,0.54,0.451
KAZ,Kazakhstan,1256,10.2,11.9,1.0,681,5.4,6.5,0.57,0.529
MYS,Malaysia,1968,10.2,11.6,1.2,964,5.0,5.7,0.59,0.49
TJK,Tajikistan,447,10.1,8.3,1.0,244,5.7,4.5,0.59,0.564
TKM,Turkmenistan,392,10.0,10.3,1.1,217,5.6,5.7,0.61,0.56
LKA,Sri Lanka,1735,9.8,14.6,1.2,1072,6.0,9.0,0.74,0.612
PYF,French Polynesia,19,9.8,13.6,1.1,9,4.5,6.5,0.54,0.459
REU,"France, La Réunion",64,9.5,13.9,0.95,19,2.3,4.1,0.24,0.242
LBY,Libya,360,9.5,9.9,1.1,172,4.6,4.7,0.5,0.484
POL,Poland,3318,9.4,16.7,1.0,1768,4.2,8.9,0.48,0.447
ALB,Albania,164,8.7,11.6,0.88,83,3.9,5.9,0.44,0.448
DNK,Denmark,325,8.6,10.8,0.78,112,1.6,3.7,0.16,0.186
KOR,"Korea, Republic of",3361,8.4,13.0,0.79,1063,1.8,4.1,0.17,0.214
SGP,Singapore,343,8.2,12.2,0.85,113,2.3,4.0,0.25,0.28
HRV,Croatia,253,8.2,12.6,0.82,134,3.2,6.7,0.36,0.39
GLP,"France, Guadeloupe",30,8.1,14.6,0.76,14,3.0,6.8,0.29,0.37
AZE,Azerbaijan,558,8.0,10.6,0.88,205,2.9,3.9,0.33,0.362
SWE,Sweden,553,7.9,10.5,0.74,256,2.0,4.9,0.22,0.253
GBR,United Kingdom,3309,7.6,9.4,0.68,1107,1.8,3.2,0.18,0.237
DZA,Algeria,1792,7.6,7.8,0.88,833,3.5,3.6,0.42,0.461
NLD,The Netherlands,852,7.4,9.3,0.65,295,1.7,3.2,0.18,0.23
IRL,Ireland,243,7.2,9.2,0.67,97,2.2,3.7,0.25,0.306
MDV,Maldives,14,7.2,7.0,0.88,7,3.9,3.5,0.51,0.542
CZE,Czechia,625,7.2,11.5,0.73,362,3.1,6.7,0.35,0.431
DEU,Germany,4773,7.2,11.2,0.71,2213,2.4,5.2,0.27,0.333
ISL,Iceland,17,7.1,8.9,0.65,4,1.3,2.1,0.14,0.183
BEL,Belgium,599,6.9,10.1,0.69,234,1.9,3.9,0.2,0.275
MTQ,"France, Martinique",23,6.7,12.3,0.66,14,2.5,7.5,0.26,0.373
WSM,Samoa,6,6.6,5.5,0.65,2,2.2,1.9,0.28,0.333
FRA,France (metropolitan),3326,6.6,9.7,0.65,1432,2.1,4.2,0.22,0.318
CYP,Cyprus,67,6.6,9.9,0.66,27,2.2,4.0,0.22,0.333
SVN,Slovenia,109,6.4,10.3,0.63,58,2.2,5.5,0.22,0.344
AFG,Afghanistan,790,6.4,3.7,0.68,456,3.8,2.2,0.41,0.594
GRC,Greece,476,6.2,9.2,0.57,224,1.8,4.3,0.19,0.29
CAN,Canada,1596,6.0,8.0,0.56,551,1.6,2.8,0.17,0.267
USA,United States of America,13815,6.0,8.0,0.59,5037,1.8,2.9,0.19,0.3
AUT,Austria,402,5.8,8.7,0.56,186,1.7,4.0,0.19,0.293
ARE,United Arab Emirates,199,5.6,5.0,0.59,72,2.1,1.8,0.23,0.375
QAT,Qatar,37,5.6,4.2,0.71,13,2.0,1.5,0.29,0.357
ISR,Israel,301,5.4,6.4,0.56,116,1.7,2.5,0.19,0.315
AUS,Australia,991,5.4,7.4,0.51,349,1.5,2.6,0.16,0.278
OMN,Oman,77,5.2,3.9,0.61,27,2.0,1.4,0.25,0.385
ITA,Italy,2585,5.1,8.5,0.51,1165,1.8,3.8,0.19,0.353
ESP,Spain,1971,4.9,8.1,0.48,893,1.7,3.7,0.18,0.347
LUX,Luxembourg,25,4.8,7.5,0.53,9,1.4,2.7,0.18,0.292
JOR,Jordan,228,4.8,4.1,0.54,74,1.7,1.3,0.21,0.354
NZL,New Zealand,152,4.7,5.8,0.42,68,1.5,2.6,0.15,0.319
TUR,Türkiye,2577,4.5,5.9,0.49,1003,1.7,2.3,0.2,0.378
LBN,Lebanon,159,4.4,5.3,0.49,61,1.6,2.1,0.19,0.364
FIN,Finland,155,4.3,5.5,0.38,66,1.2,2.3,0.13,0.279
TUN,Tunisia,334,4.1,5.4,0.46,155,1.9,2.5,0.22,0.463
KWT,Kuwait,89,3.9,4.6,0.39,30,1.4,1.6,0.15,0.359
CHE,Switzerland,256,3.6,5.7,0.36,109,1.1,2.4,0.11,0.306
SYR,Syrian Arab Republic,346,3.4,2.8,0.38,213,2.1,1.7,0.24,0.618
PSE,Gaza Strip and West Bank,71,3.4,2.6,0.33,24,1.2,0.87,0.13,0.353
MLT,Malta,13,3.3,5.0,0.32,5,1.2,1.9,0.13,0.364
PAK,Pakistan,2722,3.0,2.2,0.34,1640,1.8,1.3,0.21,0.6
YEM,Yemen,339,3.0,1.7,0.35,203,1.9,1.0,0.22,0.633
IRQ,Iraq,496,3.0,2.2,0.35,303,1.9,1.3,0.22,0.633
BHR,Bahrain,20,2.8,3.3,0.3,6,0.9,0.98,0.1,0.321
EGY,Egypt,1251,2.4,2.2,0.29,578,1.1,1.0,0.14,0.458
IRN,"Iran, Islamic Republic of",1344,2.4,3.0,0.25,761,1.4,1.7,0.15,0.583
SAU,Saudi Arabia,183,1.8,1.4,0.21,65,0.67,0.48,0.08,0.372
