Alpha-3 code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier
LVA,Latvia,234,16.3,23.3,1.6,113,5.0,11.3,0.55,0.307,Latvia,2023.0,0.889,2.791165107812717,1.6094379124341003,Very High
URY,Uruguay,378,16.3,21.7,1.6,162,5.9,9.3,0.65,0.362,Uruguay,2023.0,0.862,2.791165107812717,1.7749523509116738,Very High
ERI,Eritrea,199,16.1,11.1,1.9,125,10.2,7.0,1.2,0.634,Eritrea,2023.0,0.503,2.7788192719904172,2.322387720290225,Low
UKR,Ukraine,4850,16.1,23.9,1.6,2058,5.9,10.2,0.64,0.366,Ukraine,2023.0,0.779,2.7788192719904172,1.7749523509116738,High
BGR,Bulgaria,844,16.0,24.2,1.6,451,6.7,12.9,0.74,0.419,Bulgaria,2023.0,0.845,2.772588722239781,1.9021075263969205,Very High
PAN,Panama,436,15.9,19.3,1.5,232,8.1,10.3,0.84,0.509,Panama,2023.0,0.839,2.766319109226186,2.0918640616783932,Very High
MNE,Montenegro,69,15.8,20.8,1.4,34,6.1,10.3,0.58,0.386,Montenegro,2023.0,0.862,2.760009940032921,1.8082887711792655,Very High
CPV,Cape Verde,44,15.8,17.1,1.7,29,10.3,11.2,1.1,0.652,Cape Verde,2023.0,0.668,2.760009940032921,2.33214389523559,Medium
BRN,Brunei Darussalam,42,15.7,19.4,1.5,18,6.7,8.3,0.63,0.427,Brunei,2023.0,0.837,2.7536607123542622,1.9021075263969205,Very High
GAB,Gabon,146,15.6,11.7,1.7,88,9.6,7.0,1.1,0.615,Gabon,2023.0,0.733,2.747270914255491,2.2617630984737906,High
GNQ,Equatorial Guinea,99,15.4,11.1,1.7,62,9.8,6.9,1.1,0.636,Equatorial Guinea,2023.0,0.674,2.7343675094195836,2.2823823856765264,Medium
DJI,Djibouti,80,15.3,13.6,1.8,50,9.5,8.5,1.1,0.621,Djibouti,2023.0,0.513,2.72785282839839,2.2512917986064953,Low
MMR,Myanmar,4905,15.2,17.9,1.8,3032,9.4,11.1,1.1,0.618,Myanmar,2023.0,0.609,2.7212954278522306,2.2407096892759584,Medium
BRB,Barbados,34,15.2,23.1,1.6,20,6.9,13.6,0.67,0.454,Barbados,2023.0,0.811,2.7212954278522306,1.9315214116032138,Very High
MEX,Mexico,11919,15.1,17.7,1.5,4967,6.1,7.4,0.64,0.404,Mexico,2023.0,0.789,2.714694743820879,1.8082887711792655,High
KGZ,Kyrgyzstan,538,14.9,14.8,1.6,291,8.1,8.0,0.91,0.544,Kyrgyzstan,2023.0,0.72,2.7013612129514133,2.0918640616783932,High
SVK,Slovakia,608,13.9,21.6,1.4,248,4.6,8.8,0.52,0.331,Slovakia,2023.0,0.88,2.631888840136646,1.5260563034950492,Very High
KHM,Cambodia,1252,13.8,13.9,1.5,763,8.4,8.5,0.96,0.609,Cambodia,2023.0,0.606,2.624668592163159,2.128231705849268,Medium
PHL,Philippines,7829,13.8,13.5,1.5,3389,6.0,5.8,0.65,0.435,Philippines,2023.0,0.72,2.624668592163159,1.791759469228055,High
COL,Colombia,4738,13.8,17.7,1.4,2331,6.4,8.7,0.67,0.464,Colombia,2023.0,0.788,2.624668592163159,1.8562979903656263,High
CUB,Cuba,1355,13.7,24.4,1.5,706,6.3,12.7,0.71,0.46,Cuba,2023.0,0.762,2.617395832834079,1.840549633397487,High
HUN,Hungary,979,13.4,19.5,1.3,471,4.8,9.4,0.54,0.358,Hungary,2023.0,0.87,2.5952547069568657,1.5686159179138452,Very High
BRA,Brazil,18986,13.2,17.6,1.3,9378,6.2,8.7,0.64,0.47,Brazil,2023.0,0.786,2.580216829592325,1.824549292051046,High
MNG,Mongolia,234,13.1,13.4,1.4,142,8.0,8.2,0.84,0.611,Mongolia,2023.0,0.747,2.5726122302071057,2.0794415416798357,High
BGD,Bangladesh,11106,13.1,12.6,1.4,6557,7.8,7.4,0.84,0.595,Bangladesh,2023.0,0.685,2.5726122302071057,2.0541237336955462,Medium
CHN,China,144911,13.0,21.0,1.4,49543,3.9,7.2,0.44,0.3,China,2023.0,0.797,2.5649493574615367,1.3609765531356006,High
