code,Country,Cases,ASIR,Crude_incidence_rate,Cum_risk_incidence,Deaths,ASMR,Crude_mortality_rate,Cum_risk_mortality,MIR,HDI_country_name,HDI_year,HDI,logASIR,logASMR,HDI_tier,HPV_vax_coverage,GNI_per_capita,Screening_program,Screening_program_bin,logGNI,Smoking_prev_female,HIV_prev,Death_reg_pct
HND,Honduras,826,17.6,15.4,1.8,495,10.6,9.2,1.1,0.602,Honduras,2023.0,0.645,2.8678989020441064,2.360854001118021,Medium,70.0,6064.7856,No,0.0,8.710254470382331,1.7,0.16271,57.510000000000005
STP,Sao Tome and Principe,14,17.4,11.8,2.0,7,9.5,5.9,1.2,0.546,Sao Tome and Principe,2023.0,0.637,2.856470206220483,2.2512917986064958,Medium,80.0,5583.4233,No,0.0,8.627557361888119,2.1,,100.0
UZB,Uzbekistan,3147,17.0,17.5,1.9,1733,9.5,9.6,1.1,0.559,Uzbekistan,2023.0,0.74,2.833213344056216,2.2512917986064958,High,0.0,8825.73,No,0.0,9.085426597927167,1.1,,81.772
GEO,Georgia,591,17.0,29.1,1.7,214,5.6,10.5,0.61,0.329,Georgia,2023.0,0.844,2.833213344056216,1.7227665977411035,Very High,37.0,20752.57,Yes,1.0,9.94042537341108,8.1,0.37175,94.874
TLS,Timor-Leste,88,16.8,12.7,1.8,45,8.6,6.5,0.94,0.512,East Timor,2023.0,0.634,2.8213788864092133,2.151762203259462,Medium,0.0,5434.5947,No,0.0,8.600540224557552,21.1,0.2178,66.48
SRB,Serbia,917,16.8,25.9,1.7,459,6.5,13.0,0.73,0.387,Serbia,2023.0,0.833,2.8213788864092133,1.8718021769015916,Very High,2.0,23114.809,Yes,1.0,10.048228773355524,39.6,0.10533,98.286
BEN,Benin,714,16.7,9.9,2.0,444,10.5,6.2,1.3,0.629,Benin,2023.0,0.515,2.815408719422709,2.3513752571634776,Low,0.0,3805.5276,No,0.0,8.244209920341769,1.8,0.66092,1.765
ARG,Argentina,4679,16.5,20.3,1.7,2662,8.7,11.6,0.9,0.527,Argentina,2023.0,0.865,2.803360380906535,2.163323025660538,Very High,67.0,25876.053,Yes,1.0,10.161073225391798,20.4,0.40319,99.494
LVA,Latvia,234,16.3,23.3,1.6,113,5.0,11.3,0.55,0.307,Latvia,2023.0,0.889,2.791165107812717,1.6094379124341005,Very High,54.0,37997.824,Yes,1.0,10.54528417391103,22.2,0.51834,98.328
URY,Uruguay,378,16.3,21.7,1.6,162,5.9,9.3,0.65,0.362,Uruguay,2023.0,0.862,2.791165107812717,1.7749523509116738,Very High,53.0,28649.822,Yes,1.0,10.2629025092091,17.3,,99.952
UKR,Ukraine,4850,16.1,23.9,1.6,2058,5.9,10.2,0.64,0.366,Ukraine,2023.0,0.779,2.778819271990417,1.7749523509116738,High,0.0,16933.145,Yes,1.0,9.73702822278937,10.7,,92.80799999999999
BGR,Bulgaria,844,16.0,24.2,1.6,451,6.7,12.9,0.74,0.419,Bulgaria,2023.0,0.845,2.772588722239781,1.9021075263969205,Very High,3.0,32174.93,Yes,1.0,10.378942856859783,36.4,0.11476,94.376
PAN,Panama,436,15.9,19.3,1.5,232,8.1,10.3,0.84,0.509,Panama,2023.0,0.839,2.766319109226186,2.091864061678393,Very High,73.0,34384.566,Yes,1.0,10.445363079891528,2.0,1.11778,98.758
MNE,Montenegro,69,15.8,20.8,1.4,34,6.1,10.3,0.58,0.386,Montenegro,2023.0,0.862,2.760009940032921,1.8082887711792652,Very High,23.0,28026.33,Yes,1.0,10.240899704441402,34.3,0.14599,93.65
CPV,Cape Verde,44,15.8,17.1,1.7,29,10.3,11.2,1.1,0.652,Cape Verde,2023.0,0.668,2.760009940032921,2.33214389523559,Medium,0.0,8165.3794,No,0.0,9.007658470950869,5.3,0.91553,91.34
BRN,Brunei Darussalam,42,15.7,19.4,1.5,18,6.7,8.3,0.63,0.427,Brunei,2023.0,0.837,2.7536607123542622,1.9021075263969205,Very High,88.0,75826.875,Yes,1.0,11.236208060243138,2.3,,85.642
GAB,Gabon,146,15.6,11.7,1.7,88,9.6,7.0,1.1,0.615,Gabon,2023.0,0.733,2.747270914255491,2.26176309847379,High,0.0,18854.06,Yes,1.0,9.844483554299606,3.4,2.79942,42.56333333333333
MMR,Myanmar,4905,15.2,17.9,1.8,3032,9.4,11.1,1.1,0.618,Myanmar,2023.0,0.609,2.7212954278522306,2.2407096892759584,Medium,0.0,4918.8105,Yes,1.0,8.500822011963006,18.4,0.88864,57.784000000000006
MEX,Mexico,11919,15.1,17.7,1.5,4967,6.1,7.4,0.64,0.404,Mexico,2023.0,0.789,2.714694743820879,1.8082887711792652,High,80.0,21812.656,Yes,1.0,9.990245630781672,7.9,0.45731,96.16
KGZ,Kyrgyzstan,538,14.9,14.8,1.6,291,8.1,8.0,0.91,0.544,Kyrgyzstan,2023.0,0.72,2.7013612129514133,2.091864061678393,High,48.0,6078.1177,No,0.0,8.712450338211912,3.1,0.27156,98.136
SVK,Slovakia,608,13.9,21.6,1.4,248,4.6,8.8,0.52,0.331,Slovakia,2023.0,0.88,2.631888840136646,1.5260563034950492,Very High,29.0,36792.99,Yes,1.0,10.513062616881228,25.3,0.05332,99.99
KHM,Cambodia,1252,13.8,13.9,1.5,763,8.4,8.5,0.96,0.609,Cambodia,2023.0,0.606,2.624668592163159,2.128231705849268,Medium,0.0,4931.0166,Yes,1.0,8.503300452675568,6.1,0.50433,34.788
PHL,Philippines,7829,13.8,13.5,1.5,3389,6.0,5.8,0.65,0.435,Philippines,2023.0,0.72,2.624668592163159,1.791759469228055,High,1.0,10731.204,Yes,1.0,9.280911038090297,4.9,0.32992,92.26599999999999
COL,Colombia,4738,13.8,17.7,1.4,2331,6.4,8.7,0.67,0.464,Colombia,2023.0,0.788,2.624668592163159,1.8562979903656265,High,63.0,18665.95,Yes,1.0,9.834456287455009,4.3,0.59143,95.314
CUB,Cuba,1355,13.7,24.4,1.5,706,6.3,12.7,0.71,0.46,Cuba,2023.0,0.762,2.617395832834079,1.840549633397487,High,0.0,8415.412,Yes,1.0,9.037820065616533,9.6,0.6323,98.65
HUN,Hungary,979,13.4,19.5,1.3,471,4.8,9.4,0.54,0.358,Hungary,2023.0,0.87,2.5952547069568657,1.5686159179138452,Very High,75.0,37236.074,Yes,1.0,10.5250333015585,29.0,,100.0
BRA,Brazil,18986,13.2,17.6,1.3,9378,6.2,8.7,0.64,0.47,Brazil,2023.0,0.786,2.580216829592325,1.824549292051046,High,75.0,18011.285,Yes,1.0,9.79875378487518,8.9,0.74698,97.14
MNG,Mongolia,234,13.1,13.4,1.4,142,8.0,8.2,0.84,0.611,Mongolia,2023.0,0.747,2.5726122302071057,2.079441541679836,High,0.0,14787.082,Yes,1.0,9.60150924076962,7.4,0.02982,78.2
BGD,Bangladesh,11106,13.1,12.6,1.4,6557,7.8,7.4,0.84,0.595,Bangladesh,2023.0,0.685,2.5726122302071057,2.0541237336955462,Medium,15.0,8497.658,Yes,1.0,9.04754587510144,15.7,0.01441,17.0625
CHN,China,144911,13.0,21.0,1.4,49543,3.9,7.2,0.44,0.3,China,2023.0,0.797,2.5649493574615367,1.3609765531356006,High,0.0,22029.223,Yes,1.0,10.000125169088138,1.6,,76.57
THA,Thailand,7469,12.6,20.3,1.4,3717,6.0,10.1,0.67,0.476,Thailand,2023.0,0.798,2.533696813957432,1.791759469228055,High,32.0,20569.902,Yes,1.0,9.931584218415916,1.4,1.0064,98.964
BLR,Belarus,871,12.4,18.0,1.2,371,4.4,7.7,0.46,0.355,Belarus,2023.0,0.824,2.517696472610991,1.4816045409242156,Very High,0.0,26724.871,Yes,1.0,10.19334990894053,14.1,,97.416
